Date,Away Team,Away Score,Home Team,Home Score,Season,Notes,Day,Winner,Loser
30-08-2015,Phoenix Mercury,61,Minnesota Lynx,71,2015,,Sunday,Minnesota Lynx,Phoenix Mercury
30-08-2015,Washington Mystics,59,Seattle Storm,69,2015,,Sunday,Seattle Storm,Washington Mystics
30-08-2015,Indiana Fever,70,Tulsa Shock,76,2015,,Sunday,Tulsa Shock,Indiana Fever
01-09-2015,Connecticut Sun,51,Indiana Fever,81,2015,,Tuesday,Indiana Fever,Connecticut Sun
01-09-2015,Atlanta Dream,75,New York Liberty,80,2015,,Tuesday,New York Liberty,Atlanta Dream
02-09-2015,Washington Mystics,53,Phoenix Mercury,73,2015,,Wednesday,Phoenix Mercury,Washington Mystics
03-09-2015,Washington Mystics,91,Los Angeles Sparks,93,2015,,Thursday,Los Angeles Sparks,Washington Mystics
03-09-2015,Chicago Sky,82,New York Liberty,60,2015,,Thursday,Chicago Sky,New York Liberty
03-09-2015,Tulsa Shock,85,Seattle Storm,67,2015,,Thursday,Tulsa Shock,Seattle Storm
04-09-2015,Indiana Fever,65,Minnesota Lynx,81,2015,,Friday,Minnesota Lynx,Indiana Fever
04-09-2015,Connecticut Sun,73,San Antonio Silver Stars,72,2015,,Friday,Connecticut Sun,San Antonio Silver Stars
05-09-2015,Phoenix Mercury,82,San Antonio Silver Stars,52,2015,,Saturday,Phoenix Mercury,San Antonio Silver Stars
06-09-2015,Washington Mystics,67,Atlanta Dream,73,2015,,Sunday,Atlanta Dream,Washington Mystics
06-09-2015,Seattle Storm,65,Chicago Sky,93,2015,,Sunday,Chicago Sky,Seattle Storm
06-09-2015,Tulsa Shock,73,Los Angeles Sparks,92,2015,,Sunday,Los Angeles Sparks,Tulsa Shock
06-09-2015,New York Liberty,75,Minnesota Lynx,71,2015,,Sunday,New York Liberty,Minnesota Lynx
08-09-2015,Seattle Storm,67,Minnesota Lynx,73,2015,,Tuesday,Minnesota Lynx,Seattle Storm
08-09-2015,San Antonio Silver Stars,64,Tulsa Shock,74,2015,,Tuesday,Tulsa Shock,San Antonio Silver Stars
08-09-2015,Indiana Fever,72,Washington Mystics,76,2015,,Tuesday,Washington Mystics,Indiana Fever
09-09-2015,Los Angeles Sparks,60,Atlanta Dream,90,2015,,Wednesday,Atlanta Dream,Los Angeles Sparks
09-09-2015,Connecticut Sun,64,New York Liberty,74,2015,,Wednesday,New York Liberty,Connecticut Sun
11-09-2015,Indiana Fever,75,Atlanta Dream,67,2015,,Friday,Indiana Fever,Atlanta Dream
11-09-2015,Tulsa Shock,71,Chicago Sky,92,2015,,Friday,Chicago Sky,Tulsa Shock
